#{"t_start": 1742800913.890253, "env_id": "None"}
r,l,t
12.475062,481,0.903857
15.902204,481,0.98413
13.943083,481,1.06787
14.948202,481,1.147198
13.83235,481,1.755719
14.747836,481,1.835434
13.264003,481,1.914393
13.194881,481,1.996778
16.702263,481,2.725844
18.199335,481,2.804269
16.752326,481,2.895873
19.367517,481,2.976113
18.969285,481,3.587107
17.089203,481,3.664133
17.864721,481,3.741889
18.722558,481,3.82326
20.059419,481,3.903844
19.372276,481,4.553792
20.20061,481,4.632535
17.211515,481,4.7113
19.415341,481,4.790683
20.791332,481,5.467371
15.914457,481,5.548777
20.632818,481,5.630531
19.658761,481,5.709752
18.694775,481,6.285558
19.849104,481,6.365518
20.405037,481,6.443817
19.859127,481,6.523076
20.337778,481,7.320641
22.88769,481,7.398407
17.627853,481,7.479864
17.130692,481,7.559462
18.27097,481,7.643981
21.244725,481,8.230526
19.816601,481,8.312831
21.597662,481,8.392809
17.528554,481,8.475329
20.644068,481,9.012409
18.73042,481,9.094388
24.662353,481,9.174621
17.403314,481,9.264453
20.289969,481,9.809809
22.211606,481,9.904488
21.644695,481,9.98423
17.931584,481,10.06263
22.931324,481,10.768484
16.784041,481,10.853994
20.848627,481,10.940363
21.77246,481,11.052048
17.615199,481,11.134553
21.315662,481,11.782109
19.671515,481,11.86896
18.72643,481,11.950025
17.974646,481,12.032045
18.577045,481,12.505441
22.622859,481,12.583695
18.527146,481,12.663258
16.381788,481,12.74144
16.479776,481,13.195417
23.269125,481,13.273884
20.763973,481,13.352277
19.60675,481,13.431086
17.719251,481,13.916395
17.941803,481,13.997513
19.717641,481,14.078743
18.174923,481,14.15739
19.531328,481,14.237511
19.668596,481,14.786137
16.27565,481,14.877625
17.534174,481,14.958182
20.814604,481,15.045137
17.351799,481,15.544473
17.041163,481,15.625854
18.57121,481,15.705296
20.281377,481,15.787884
20.385559,481,16.340035
14.827116,481,16.420317
20.062893,481,16.58539
20.050521,481,16.665661
13.363385,481,17.146518
15.974143,481,17.220614
26.486712,481,17.290414
22.779807,481,17.358912
18.468342,481,17.425427
15.512836,481,17.869021
17.655302,481,17.939836
14.24222,481,18.009724
19.224327,481,18.078322
17.762478,481,18.538878
21.300857,481,18.608396
18.072609,481,18.678367
17.188379,481,18.746066
17.439725,481,19.309354
11.571248,481,19.379427
17.289374,481,19.451601
19.831264,481,19.520551
13.65859,481,20.026634
18.275118,481,20.098283
20.414047,481,20.16747
17.660385,481,20.235239
21.274311,481,20.302911
18.064937,481,20.800783
16.206217,481,20.875202
18.301405,481,20.949589
19.162131,481,21.018237
19.463077,481,21.483318
19.630848,481,21.553565
19.429781,481,21.625152
22.945515,481,21.694902
20.839447,481,22.22126
21.572381,481,22.292488
19.93603,481,22.36334
20.11093,481,22.432816
21.878888,481,22.869515
18.479217,481,22.940626
33.456844,481,23.011854
19.851205,481,23.082919
17.973533,481,23.151115
23.157676,481,23.571788
20.358083,481,23.64153
21.680994,481,23.710194
20.849568,481,23.777129
19.094054,481,24.201735
21.430832,481,24.270784
16.175977,481,24.339986
14.510828,481,24.406638
17.533534,481,24.852836
18.663427,481,24.921336
12.304327,481,24.986863
18.813693,481,25.051482
16.901056,481,25.438786
21.559503,481,25.507952
14.257537,481,25.574285
21.456742,481,25.640683
20.350092,481,25.702979
15.044314,481,26.174913
19.367151,481,26.242736
15.713911,481,26.310148
14.400291,481,26.37442
21.3957,481,26.756476
17.364468,481,26.822975
23.931505,481,26.889097
20.316765,481,26.952363
17.851296,481,27.413712
21.770402,481,27.481817
19.158803,481,27.549118
19.437614,481,27.615443
18.331393,481,27.679424
21.068178,481,28.102458
21.983351,481,28.169201
18.935244,481,28.23723
11.796415,481,28.301314
19.856091,481,28.68932
14.386546,481,28.757416
22.130091,481,28.831767
21.556256,481,28.904984
4.965628,481,29.299265
22.457712,481,29.363357
19.896351,481,29.427473
21.748836,481,29.490539
20.065935,481,29.896419
22.357374,481,29.966239
20.893451,481,30.03151
21.338676,481,30.097152
18.032271,481,30.158445
16.237851,481,30.543502
17.292775,481,30.610629
21.523456,481,30.677343
20.098046,481,30.739775
26.043555,481,31.210561
22.112676,481,31.277398
18.885587,481,31.341148
16.896095,481,31.402753
20.698803,481,31.862274
23.274299,481,31.930999
17.733523,481,31.996272
24.009299,481,32.059849
22.865193,481,32.522919
16.855334,481,32.587271
23.77015,481,32.651534
19.236562,481,32.715667
17.81443,481,32.777231
23.278431,481,33.205834
24.383333,481,33.273623
22.153242,481,33.340689
18.265911,481,33.404916
19.855625,481,33.832887
23.673078,481,33.899093
23.97673,481,33.963743
23.87565,481,34.026825
21.810775,481,34.448831
23.030509,481,34.512816
23.908208,481,34.576367
18.418748,481,34.639213
19.449463,481,35.063631
21.246454,481,35.129119
21.940788,481,35.192666
22.91024,481,35.25602
18.248213,481,35.318069
24.086744,481,35.741804
23.937794,481,35.805069
21.205096,481,35.870089
21.541814,481,35.933999
18.355258,481,36.351965
22.356966,481,36.419496
21.405797,481,36.486669
22.51347,481,36.551901
