#{"t_start": 1742800850.847627, "env_id": "None"}
r,l,t
12.91653,481,0.953616
13.935712,481,1.044061
13.396346,481,1.134876
17.387,481,1.226579
14.106664,481,1.886513
15.47393,481,1.97933
15.096256,481,2.070702
14.113774,481,2.162382
13.449558,481,2.75558
16.994488,481,2.844123
19.900934,481,2.935654
16.091898,481,3.028234
15.595757,481,3.620699
18.075196,481,3.711238
19.675682,481,3.802091
21.074637,481,3.895878
20.676352,481,3.98788
18.526176,481,4.570019
18.259654,481,4.660396
20.529465,481,4.75187
16.448612,481,4.843799
19.691621,481,5.416556
20.216309,481,5.506305
21.528222,481,5.597356
24.064907,481,5.690218
22.495455,481,6.288494
18.4582,481,6.379711
19.249102,481,6.471926
20.293935,481,6.562006
19.553632,481,7.249878
20.090944,481,7.34187
18.927516,481,7.431882
19.653467,481,7.523357
19.457299,481,7.614855
22.041537,481,8.198588
17.891083,481,8.288661
22.433904,481,8.381457
19.738693,481,8.473427
22.550932,481,9.073715
17.584646,481,9.162588
21.768046,481,9.253536
17.930498,481,9.345632
21.609696,481,9.94917
21.091081,481,10.04031
18.732542,481,10.131892
18.479156,481,10.223332
20.975419,481,10.810194
23.277195,481,10.904875
19.587476,481,10.996275
21.66469,481,11.088172
19.542933,481,11.181581
19.048982,481,11.764213
20.747982,481,11.856882
19.379168,481,11.948747
20.282157,481,12.041435
19.945461,481,12.621834
21.182811,481,12.712615
19.848992,481,12.804782
19.335076,481,12.897031
24.340843,481,13.490859
20.95463,481,13.582559
21.729483,481,13.673429
16.70608,481,13.765694
20.261416,481,14.340408
17.818816,481,14.432202
18.792676,481,14.522427
18.568937,481,14.61398
18.83085,481,14.704823
19.012094,481,15.297323
22.487058,481,15.389118
16.490153,481,15.482073
23.509074,481,15.574448
19.246865,481,16.15551
20.082299,481,16.246574
15.344305,481,16.337379
23.682228,481,16.42861
18.447368,481,17.029217
21.074555,481,17.12084
16.659612,481,17.212216
21.706535,481,17.30296
20.379252,481,17.908687
21.561529,481,18.041673
18.689595,481,18.143769
21.486379,481,18.23519
22.830474,481,18.331925
21.032591,481,18.92641
20.30543,481,19.017287
23.920533,481,19.107179
20.236948,481,19.277066
11.873411,481,19.871474
20.293952,481,19.960015
20.544792,481,20.047901
4.168502,481,20.13853
20.097709,481,20.695049
21.822072,481,20.783908
22.729197,481,20.872862
18.47891,481,20.959777
18.325895,481,21.521713
20.407241,481,21.609668
19.64194,481,21.697523
14.459573,481,21.784939
5.633642,481,21.874641
14.549135,481,22.436081
20.427585,481,22.521198
20.43385,481,22.606085
22.648339,481,22.690905
9.978733,481,23.263691
2.674541,481,23.352176
21.888246,481,23.439202
11.773332,481,23.523686
20.154205,481,24.095837
23.729423,481,24.186046
21.83413,481,24.276114
21.684729,481,24.364208
19.08658,481,24.912486
20.823116,481,25.003449
23.724903,481,25.094134
21.398294,481,25.179898
18.278263,481,25.264937
19.31875,481,25.814991
22.419159,481,25.9076
19.819149,481,25.992701
21.873314,481,26.078169
19.337592,481,26.599306
23.861319,481,26.687947
20.196226,481,26.775931
25.522803,481,26.864507
22.268046,481,27.442394
18.828969,481,27.531913
16.534027,481,27.61781
23.752953,481,27.702597
19.576871,481,28.249746
19.574306,481,28.339531
17.298231,481,28.428007
9.234434,481,28.513984
21.995628,481,28.599216
22.400556,481,29.158687
18.212342,481,29.247123
20.400908,481,29.338747
17.488354,481,29.427616
22.307029,481,29.976268
22.246674,481,30.064988
20.420751,481,30.155205
20.070661,481,30.242922
23.953616,481,30.769749
21.765293,481,30.854434
22.415804,481,30.941676
20.180789,481,31.027084
25.815044,481,31.112625
24.704844,481,31.66841
24.844743,481,31.752999
24.061082,481,31.83777
20.41171,481,31.924937
23.923965,481,32.479783
23.094107,481,32.564739
23.183968,481,32.64947
22.242138,481,32.734113
24.388856,481,33.307578
23.755558,481,33.392613
23.730806,481,33.477284
22.255565,481,33.56174
23.991841,481,34.089545
22.475074,481,34.174266
24.509096,481,34.258577
24.742447,481,34.342673
23.060336,481,34.427016
24.163301,481,35.020844
24.116534,481,35.11204
26.103666,481,35.20025
26.940736,481,35.287657
24.887672,481,35.87149
23.743972,481,35.962805
25.044103,481,36.052381
23.401702,481,36.14206
25.078132,481,36.742886
23.498688,481,36.830862
25.338007,481,36.91821
24.765599,481,37.004171
20.78581,481,37.552939
24.904698,481,37.637654
24.326097,481,37.722329
22.523649,481,37.80778
24.705483,481,37.894092
24.039322,481,38.457886
24.67706,481,38.546526
22.686772,481,38.635189
23.653714,481,38.723167
23.944034,481,39.30593
24.648856,481,39.39588
20.182649,481,39.480925
24.737038,481,39.565674
20.916835,481,40.114187
24.211919,481,40.200602
22.621817,481,40.285222
20.400841,481,40.369734
20.659715,481,40.933978
20.83501,481,41.019445
23.259331,481,41.104984
20.531056,481,41.190704
18.187107,481,41.275838
21.450841,481,41.830335
20.139118,481,41.91699
22.363853,481,42.002653
20.962002,481,42.090072
19.341882,481,42.627893
24.162766,481,42.712481
22.698797,481,42.797055
19.812743,481,43.196084
